,cps,season,copula,tau,pe,pm,ze,zm,pexp
106,CP02,aut,gumbel,-0.037456506171884514,1.3737155789130306,1.3164082336557241,0.9983480176211453,0.9955947136563876,
107,CP02,spr,gumbel,-0.10643504277586188,1.199964782928397,1.1410330045520618,0.9988510149368057,0.9969360398314822,
108,CP99,sum,gumbel,-0.10965460079236251,1.0508216248317612,0.9082585601768908,0.98828125,0.96875,
109,CP99,win,gumbel,-0.1113480112436413,1.1052568313867783,1.0577902941478545,0.9924242424242425,0.9797979797979799,
110,CP99,aut,gumbel,0.004550768130729901,0.9783261227936078,0.883767540168595,0.987551867219917,0.966804979253112,
111,CP99,spr,gumbel,-0.00480078969883984,0.9820784724121582,0.9439058989071284,0.986111111111111,0.9629629629629629,
112,CP16,sum,gumbel,-0.04359532972207158,1.1314021114911006,1.0402767116551463,0.9967776584317938,0.99140708915145,
113,CP16,win,gumbel,-0.018453947404467288,1.6992786164338898,1.220829921392359,0.9979811574697173,0.9946164199192462,
114,CP16,aut,gumbel,-0.153964264632579,1.6937790608678513,0.9745596399981308,0.9971988795518207,0.992530345471522,
115,CP16,spr,gumbel,-0.035061635661725654,1.205970806988609,1.1878434223960523,0.9978738483345144,0.994330262225372,
116,CP10,sum,gumbel,-0.005596184420248599,1.5129270120532565,1.144222799920162,0.9986213235294117,0.9963235294117646,
117,CP10,win,gumbel,-0.005911337434634183,1.1505720275988207,1.1378330018213911,0.998734711092366,0.9966258962463095,
118,CP10,aut,gumbel,-0.0924784627561173,1.541159071680806,1.4838746894587547,0.9985721085197524,0.9961922893860066,
119,CP10,spr,gumbel,-0.10027048408885907,1.2383742310432684,1.091923300517313,0.9987452948557088,0.9966541196152237,
120,CP09,sum,gumbel,0.043294561255054,1.244154593958768,1.2029723039923526,0.9972247918593895,0.9925994449583719,
121,CP09,win,gumbel,0.03922540347361565,1.4350845252893227,1.4350845252893227,0.9975429975429976,0.9934479934479935,
122,CP09,aut,gumbel,0.003239474483611449,1.840549633397487,1.5518087995974639,0.9976114649681529,0.9936305732484076,2.881161649902067
123,CP09,spr,gumbel,0.001712381515095556,1.4816045409242156,1.4562867329399256,0.9974160206718347,0.9931093884582257,
124,CP05,sum,gumbel,0.0021429516163939543,1.4206957878372228,1.2325602611778486,0.9980781550288276,0.9948750800768738,
125,CP05,win,gumbel,-0.02236186378131705,1.4973884086254774,1.4701758451005926,0.9975328947368421,0.993421052631579,
126,CP05,aut,gumbel,-0.17475087200699982,1.6714733033535532,1.4701758451005926,0.9980719794344473,0.9948586118251928,
127,CP05,spr,gumbel,-0.034697406401939,1.1474024528375417,1.1378330018213911,0.9978510028653295,0.9942693409742119,
128,CP11,sum,gumbel,0.08040664356213127,1.247032293786383,1.128171090909654,0.9981378026070763,0.9950341402855368,
129,CP11,win,gumbel,-0.09413259366546246,1.4398351280479205,1.425515074273172,0.9978432782171099,0.9942487419122933,
130,CP11,aut,gumbel,-0.010082428722758614,1.536867219599265,1.534714366238164,0.9979605710401087,0.9945615227736233,3.2456192623999964
131,CP11,spr,gumbel,-0.08350864542573988,1.3217558399823195,1.1908875647772805,0.9978510028653295,0.9942693409742119,
132,CP04,sum,gumbel,0.11126511146915469,1.451613827240533,1.410986973710262,0.9976489028213167,0.9937304075235109,
133,CP04,win,gumbel,0.19029628643340643,1.4350845252893227,1.4134230285081433,0.9981261711430355,0.9950031230480949,
134,CP04,aut,gumbel,-0.019715055269701368,1.463255402256019,1.3056264580524357,0.9979811574697173,0.9946164199192462,
135,CP04,spr,gumbel,0.04942886118637473,1.6331544390514163,1.3711807233098425,0.9981829194427619,0.9951544518473652,
